period,id,name,order,level,unit,value
2018-Q2,IS_PROVISION_FOR_CREDIT_LOSSES,  ‣ Provision for Credit Losses,17,2,VNĐ,-2600786000000.0
2018-Q2,IS_PROFIT_BEFORE_TAX,  ‣ Profit Before Tax,18,2,VNĐ,2237934000000.0
2018-Q2,IS_CORPORATE_INCOME_TAX_EXPENSES,Corporate Income Tax Expenses,19,1,VNĐ,-425595000000.0
2018-Q2,IS_CURRENT_CORPORATE_INCOME_TAX_EXPENSES,  ‣ Current Corporate Income Tax Expenses,20,2,VNĐ,-431336000000.0
2018-Q2,IS_DEFERRED_INCOME_TAX_EXPENSES,  ‣ Deferred Income Tax Expenses,21,2,VNĐ,5741000000.0
2018-Q2,IS_NET_PROFIT_AFTER_TAX,Net Profit After Tax,22,1,VNĐ,1812339000000.0
2018-Q2,IS_MINORITY_INTEREST,Minority Interest,23,1,VNĐ,4226000000.0
2018-Q2,IS_PROFIT_AFTER_TAX_FOR_SHAREHOLDERS_OF_PARENT_COMPANY,Profit After Tax for Shareholders of Parent Company,24,1,VNĐ,1808113000000.0
2018-Q2,IS_BASIC_EARNINGS_PER_SHARE,Basic Earnings Per Share,25,1,VNĐ,0.0
2018-Q2,IS_DILUTED_EARNINGS_PER_SHARE,Diluted Earnings Per Share,26,1,VNĐ,0.0
2018-Q1,IS_NET_INTEREST_INCOME,Net Interest Income,1,1,VNĐ,7233573000000.0
2018-Q1,IS_INTEREST_INCOME_AND_SIMILAR_INCOME,  ‣ Interest Income and Similar Income,2,2,VNĐ,17610625000000.0
2018-Q1,IS_INTEREST_AND_SIMILAR_EXPENSES,  ‣ Interest and Similar Expenses,3,2,VNĐ,-10377052000000.0
2018-Q1,IS_NET_FEE_AND_COMMISSION_INCOME,Net Fee and Commission Income,4,1,VNĐ,592491000000.0
2018-Q1,IS_FEE_AND_COMMISSION_INCOME,  ‣ Fee and Commission Income,5,2,VNĐ,1244519000000.0
2018-Q1,IS_FEE_AND_COMMISSION_EXPENSES,  ‣ Fee and Commission Expenses,6,2,VNĐ,-652028000000.0
2018-Q1,IS_NET_GAIN_LOSS_FROM_FOREIGN_CURRENCIES_AND_GOLD_TRADING,Net Gain Loss from Foreign Currencies and Gold Trading,7,1,VNĐ,233900000000.0
2018-Q1,IS_NET_GAIN_LOSS_FROM_TRADING_SECURITIES,Net Gain Loss from Trading Securities,8,1,VNĐ,239351000000.0
2018-Q1,IS_NET_GAIN_LOSS_FROM_INVESTMENT_SECURITIES,Net Gain Loss from Investment Securities,9,1,VNĐ,79624000000.0
2018-Q1,IS_NET_OTHER_INCOME,Net Other Income,10,1,VNĐ,356583000000.0
2018-Q1,IS_OTHER_INCOME,  ‣ Other Income,11,2,VNĐ,663578000000.0
2018-Q1,IS_OTHER_EXPENSES,  ‣ Other Expenses,12,2,VNĐ,-306995000000.0
2018-Q1,IS_INCOME_FROM_CAPITAL_CONTRIBUTION_AND_LONG_TERM_INVESTMENTS,  ‣ Income from Capital Contribution and Long Term Investments,13,2,VNĐ,98995000000.0
2018-Q1,IS_TOTAL_OPERATING_INCOME,  ‣ Total Operating Income,14,2,VNĐ,8834517000000.0
2018-Q1,IS_OPERATING_EXPENSES,  ‣ Operating Expenses,15,2,VNĐ,
2018-Q1,IS_OPERATING_PROFIT_BEFORE_PROVISION_FOR_CREDIT_LOSSES,  ‣ Operating Profit Before Provision for Credit Losses,16,2,VNĐ,5379090000000.0
2018-Q1,IS_PROVISION_FOR_CREDIT_LOSSES,  ‣ Provision for Credit Losses,17,2,VNĐ,-2351397000000.0
2018-Q1,IS_PROFIT_BEFORE_TAX,  ‣ Profit Before Tax,18,2,VNĐ,3027693000000.0
2018-Q1,IS_CORPORATE_INCOME_TAX_EXPENSES,Corporate Income Tax Expenses,19,1,VNĐ,-587156000000.0
2018-Q1,IS_CURRENT_CORPORATE_INCOME_TAX_EXPENSES,  ‣ Current Corporate Income Tax Expenses,20,2,VNĐ,-580758000000.0
2018-Q1,IS_DEFERRED_INCOME_TAX_EXPENSES,  ‣ Deferred Income Tax Expenses,21,2,VNĐ,-6398000000.0
2018-Q1,IS_NET_PROFIT_AFTER_TAX,Net Profit After Tax,22,1,VNĐ,2440537000000.0
2018-Q1,IS_MINORITY_INTEREST,Minority Interest,23,1,VNĐ,11958000000.0
2018-Q1,IS_PROFIT_AFTER_TAX_FOR_SHAREHOLDERS_OF_PARENT_COMPANY,Profit After Tax for Shareholders of Parent Company,24,1,VNĐ,2428579000000.0
2018-Q1,IS_BASIC_EARNINGS_PER_SHARE,Basic Earnings Per Share,25,1,VNĐ,0.0
2018-Q1,IS_DILUTED_EARNINGS_PER_SHARE,Diluted Earnings Per Share,26,1,VNĐ,0.0
